model,display_label,metric,value,ci_low,ci_high,confidence_level
GPT-4o base,Accuracy,accuracy,83.79166666666666,82.29166666666666,85.25,0.95
GPT-4o base,Precision,precision,86.8629671574179,84.54425524708346,88.97840094680781,0.95
GPT-4o base,Recall,recall,73.75,71.0498053386776,76.40595159502982,0.95
GPT-4o base,F1,f1,79.7711908476339,77.76032653061225,81.67558071127897,0.95
Llama3.1-70B base,Accuracy,accuracy,79.91666666666667,78.33333333333333,81.5,0.95
Llama3.1-70B base,Precision,precision,77.9,75.34787807806626,80.41963307776561,0.95
Llama3.1-70B base,Recall,recall,74.90384615384616,72.26638217569582,77.4832227138643,0.95
Llama3.1-70B base,F1,f1,76.37254901960785,74.29132656063146,78.38622860811013,0.95
Llama3.1-8B base,Accuracy,accuracy,78.125,76.41666666666667,79.79166666666667,0.95
Llama3.1-8B base,Precision,precision,79.76878612716763,77.03962703962704,82.49427917620137,0.95
Llama3.1-8B base,Recall,recall,66.34615384615384,63.526119402985074,69.12491050204773,0.95
Llama3.1-8B base,F1,f1,72.44094488188976,70.15483182060865,74.72870503761634,0.95
